bn:00000001n	08641944n
bn:00038384n	01403284n
bn:00038385n	12848870n
bn:00038386n	01483707n
bn:00038387n	02545687n
bn:00038388n	01734273n
bn:00038389n	01598820n
bn:00038390n	12699157n
bn:00038391n	01691525n
bn:00038392n	12393942n
bn:00038393n	11703205n
bn:00038394n	11618750n
bn:00038395n	12722884n
bn:00038396n	02041492n
bn:00038397n	02306672n
bn:00038398n	02146064n
bn:00038399n	11987956n
bn:00038400n	13197670n
bn:00038401n	02560383n
bn:00038402n	12538603n
bn:00038403n	02515560n
bn:00038404n	01774252n
bn:00038405n	11703935n
bn:00038406n	12849597n
bn:00038407n	12182414n
bn:00038408n	11988419n
bn:00038409n	01448496n
bn:00038410n	13175847n
bn:00038411n	12987993n
bn:00038412n	13058447n
bn:00038413n	12238306n
bn:00038414n	01645278n
bn:00038415n	12239100n
bn:00038416n	01801371n
bn:00038417n	01418498n
bn:00038418n	11742745n
bn:00038419n	11848610n
bn:00038420n	02344785n
bn:00038421n	11794791n
bn:00038422n	02497550n
bn:00038423n	12544027n
bn:00038424n	13001743n
bn:00038425n	12850718n
bn:00038426n	02490964n
bn:00038427n	11988774n
bn:00038428n	11989266n
bn:00038429n	12851304n
bn:00038430n	01999048n
bn:00038431n	12851673n
bn:00038432n	11890329n
bn:00038433n	12701491n
bn:00038434n	01664244n
bn:00038435n	02622408n
bn:00038436n	11656380n
bn:00038437n	13013187n
bn:00038438n	02270473n
bn:00038439n	02641215n
bn:00038440n	02563497n
bn:00038441n	12799119n
bn:00038442n	02169833n
bn:00038443n	01643687n
bn:00038444n	02239934n
bn:00038445n	12954185n
bn:00038446n	02002875n
bn:00038447n	01383332n
bn:00038448n	01740721n
bn:00038449n	02326237n
bn:00038450n	12542649n
bn:00038451n	11890723n
bn:00038452n	12220247n
bn:00038453n	11762237n
bn:00038454n	11989636n
bn:00038455n	01440949n
bn:00038456n	01425076n
bn:00038457n	11990804n
bn:00038458n	12239458n
bn:00038459n	12940060n
bn:00038460n	11859981n
bn:00038461n	12672843n
bn:00038462n	12124358n
bn:00038463n	11991080n
bn:00038464n	11638902n
bn:00038465n	01742680n
bn:00038466n	11991993n
bn:00038467n	12307611n
bn:00038468n	12426100n
bn:00038469n	02658944n
bn:00038470n	01945580n
bn:00038471n	02276527n
bn:00038472n	12613968n
bn:00038473n	02032646n
bn:00038474n	02032915n
bn:00038475n	12099220n
bn:00038476n	02034016n
bn:00038477n	01787693n
bn:00038478n	12811294n
bn:00038479n	12883923n
bn:00038480n	11705921n
bn:00038481n	11992340n
bn:00038482n	12673178n
bn:00038483n	12486397n
bn:00038484n	02349730n
bn:00038485n	12070177n
bn:00038486n	02647144n
bn:00038487n	02261286n
bn:00038488n	12316300n
bn:00038489n	11712153n
bn:00038490n	12473011n
bn:00038491n	12070950n
bn:00038492n	01366881n
bn:00038493n	12744277n
bn:00038494n	12265266n
bn:00038495n	12799580n
bn:00038496n	11820323n
bn:00038497n	12820434n
bn:00038498n	02420675n
bn:00038499n	01948284n
bn:00038500n	12591195n
bn:00038501n	12035064n
bn:00038502n	12168385n
bn:00038503n	02038010n
bn:00038504n	02636035n
bn:00038505n	11891050n
bn:00038506n	02227119n
bn:00038507n	01806740n
bn:00038508n	12485331n
bn:00038509n	12240335n
bn:00038510n	01971517n
bn:00038511n	12124505n
bn:00038512n	12220654n
bn:00038513n	13203115n
bn:00038514n	11992674n
bn:00038515n	12544646n
bn:00038516n	12673755n
bn:00038517n	02548128n
bn:00038518n	01855343n
bn:00038519n	02573075n
bn:00038520n	11849017n
bn:00038521n	01805199n
bn:00038522n	13203405n
bn:00038523n	12737745n
bn:00038524n	02498620n
bn:00038525n	02523338n
bn:00038526n	12545090n
bn:00038527n	12699485n
bn:00038528n	01533780n
bn:00038529n	02504323n
bn:00038530n	13203708n
bn:00038531n	02308852n
bn:00038532n	02192127n
bn:00038533n	02478539n
bn:00038534n	12166312n
bn:00038535n	02615829n
bn:00038536n	11891395n
bn:00038537n	02048242n
bn:00038538n	12546015n
bn:00038539n	01559964n
bn:00038540n	02586865n
bn:00038541n	02444647n
bn:00038542n	02632359n
bn:00038543n	02281987n
bn:00038544n	02116630n
bn:00038545n	11811308n
bn:00038546n	12904720n
bn:00038547n	13043746n
bn:00038548n	12905655n
bn:00038549n	13222669n
bn:00038550n	12852049n
bn:00038551n	01775230n
bn:00038552n	11605396n
bn:00038553n	12956029n
bn:00038554n	02238113n
bn:00038555n	02285909n
bn:00038556n	02126951n
bn:00038557n	12240715n
bn:00038558n	01795425n
bn:00038559n	11788926n
bn:00038560n	11762706n
bn:00038561n	12094786n
bn:00038562n	12328241n
bn:00038563n	02487217n
bn:00038564n	12220994n
bn:00038565n	11993007n
bn:00038566n	11906359n
bn:00038567n	12399784n
bn:00038568n	13048212n
bn:00038569n	01802033n
bn:00038570n	01982211n
bn:00038571n	01666431n
bn:00038572n	02174870n
bn:00038573n	02059723n
bn:00038574n	01877407n
bn:00038575n	13229018n
bn:00038576n	01876535n
bn:00038577n	02142295n
bn:00038578n	12547658n
bn:00038579n	11603630n
bn:00038580n	02617956n
bn:00038581n	11993932n
bn:00038582n	02421612n
bn:00038583n	01917167n
bn:00038584n	02257149n
bn:00038585n	11709450n
bn:00038586n	11699283n
bn:00038587n	01981884n
bn:00038588n	12473405n
bn:00038589n	12852930n
bn:00038590n	02630926n
bn:00038591n	01667959n
bn:00038592n	02307007n
bn:00038593n	12182858n
bn:00038594n	12071965n
bn:00038595n	11891838n
bn:00038596n	02541139n
bn:00038597n	12183318n
bn:00038598n	02518488n
bn:00038599n	12760722n
bn:00038600n	12694193n
bn:00038601n	12633386n
bn:00038602n	12170415n
bn:00038603n	12183636n
bn:00038604n	12183916n
bn:00038605n	12370011n
bn:00038606n	11849666n
bn:00038607n	02505809n
bn:00038608n	02504635n
bn:00038609n	12906334n
bn:00038610n	02486787n
bn:00038611n	02298833n
bn:00038612n	12761123n
bn:00038613n	11711971n
bn:00038614n	12926316n
bn:00038615n	12774127n
bn:00038616n	02461701n
bn:00038617n	01500360n
bn:00038618n	02235911n
bn:00038619n	12351477n
bn:00038620n	13006741n
bn:00038621n	13215063n
bn:00038622n	11543792n
bn:00038623n	02361222n
bn:00038624n	12853901n
bn:00038625n	12957467n
bn:00038626n	02449921n
bn:00038627n	12873834n
bn:00038628n	12072419n
bn:00038629n	01731418n
bn:00038630n	01771624n
bn:00038631n	02224466n
bn:00038632n	11994827n
bn:00038633n	13197800n
bn:00038634n	11892460n
bn:00038635n	12073007n
bn:00038636n	01445998n
bn:00038637n	12608620n
bn:00038638n	02189535n
bn:00038639n	02434598n
bn:00038640n	11906713n
bn:00038641n	12548134n
bn:00038642n	12349491n
bn:00038643n	02211283n
bn:00038644n	02144792n
bn:00038645n	01633578n
bn:00038646n	01715383n
bn:00038647n	02065599n
bn:00038648n	02458675n
bn:00038649n	11995683n
bn:00038650n	13063936n
bn:00038651n	01840643n
bn:00038652n	01853379n
bn:00038653n	02523750n
bn:00038654n	02227430n
bn:00038655n	01587148n
bn:00038656n	12349091n
bn:00038657n	01793988n
bn:00038658n	02447896n
bn:00038659n	12695760n
bn:00038660n	12744656n
bn:00038661n	12391280n
bn:00038662n	11750855n
bn:00038663n	12854443n
bn:00038664n	02448200n
bn:00038665n	11850136n
bn:00038666n	02448502n
bn:00038667n	02174521n
bn:00038668n	02198996n
bn:00038669n	01821727n
bn:00038670n	01536474n
bn:00038671n	02134240n
bn:00038672n	01977366n
bn:00038673n	13229227n
bn:00038674n	11713034n
bn:00038675n	02185694n
bn:00038676n	12854925n
bn:00038677n	02597173n
bn:00038678n	12035423n
bn:00038679n	01545425n
bn:00038680n	12484612n
bn:00038681n	12241699n
bn:00038682n	02446014n
bn:00038683n	01957923n
bn:00038684n	12923839n
bn:00038685n	01854223n
bn:00038686n	02344006n
bn:00038687n	02522990n
bn:00038688n	02524424n
bn:00038689n	01828856n
bn:00038690n	12821257n
bn:00038691n	11799158n
bn:00038692n	11820751n
bn:00038693n	02343187n
bn:00038694n	02376016n
bn:00038695n	12636107n
bn:00038696n	12370384n
bn:00038697n	11639863n
bn:00038698n	12591523n
bn:00038699n	02228215n
bn:00038700n	01379116n
bn:00038701n	02350537n
bn:00038702n	13176201n
bn:00038703n	12857024n
bn:00038704n	02332315n
bn:00038705n	02596592n
bn:00038706n	02564572n
bn:00038707n	13176523n
bn:00038708n	13078652n
bn:00038709n	02659667n
bn:00038710n	11656974n
bn:00038711n	02341108n
bn:00038712n	01746063n
bn:00038713n	01745780n
bn:00038714n	11996092n
bn:00038715n	12549649n
bn:00038716n	12073410n
bn:00038717n	11754633n
bn:00038718n	01586791n
bn:00038719n	11812358n
bn:00038720n	11839297n
bn:00038721n	02080291n
bn:00038722n	12668364n
bn:00038723n	12800327n
bn:00038724n	11541579n
bn:00038725n	01500721n
bn:00038726n	11812573n
bn:00038727n	12956791n
bn:00038728n	02656550n
bn:00038729n	01449857n
bn:00038730n	11821415n
bn:00038731n	01688812n
bn:00038732n	01574997n
bn:00038733n	12857594n
bn:00038734n	02525012n
bn:00038735n	12167282n
bn:00038736n	01830799n
bn:00038737n	12858019n
bn:00038738n	12859488n
bn:00038739n	12257920n
bn:00038740n	13078809n
bn:00038741n	02653965n
bn:00038742n	02168876n
bn:00038743n	02072355n
bn:00038744n	02219901n
bn:00038745n	01718632n
bn:00038746n	12258663n
bn:00038747n	11789280n
bn:00038748n	12191075n
bn:00038749n	11860801n
bn:00038750n	13031956n
bn:00038751n	02566325n
bn:00038752n	12398990n
bn:00038753n	02435099n
bn:00038754n	01528244n
bn:00038755n	12973202n
bn:00038756n	12549976n
bn:00038757n	02601589n
bn:00038758n	12125398n
bn:00038759n	02600657n
bn:00038760n	02600135n
bn:00038761n	02434834n
bn:00038762n	12193964n
bn:00038763n	02331960n
bn:00038764n	12352150n
bn:00038765n	02190648n
bn:00038766n	02353037n
bn:00038767n	12460549n
bn:00038768n	01556040n
bn:00038769n	01555172n
bn:00038770n	01825155n
bn:00038771n	02441723n
bn:00038772n	01492212n
bn:00038773n	13041172n
bn:00038774n	11996490n
bn:00038775n	01957202n
bn:00038776n	01561059n
bn:00038777n	01376948n
bn:00038778n	01373675n
bn:00038779n	02004661n
bn:00038780n	02570038n
bn:00038781n	02459313n
bn:00038782n	02366825n
bn:00038783n	02345213n
bn:00038784n	12821736n
bn:00038785n	02146526n
bn:00038786n	12332866n
bn:00038787n	11741010n
bn:00038788n	12386724n
bn:00038789n	12326842n
bn:00038790n	11714150n
bn:00038791n	02222199n
bn:00038792n	01885367n
bn:00038793n	02460275n
bn:00038794n	02263848n
bn:00038795n	12550968n
bn:00038796n	12940427n
bn:00038797n	12097013n
bn:00038798n	11850337n
bn:00038799n	12330336n
bn:00038800n	01989254n
bn:00038801n	01963876n
bn:00038802n	01478816n
bn:00038803n	01479329n
bn:00038804n	02646117n
bn:00038805n	11996792n
bn:00038806n	02418648n
bn:00038807n	11657314n
bn:00038808n	12611479n
bn:00038809n	01747739n
bn:00038810n	01912688n
bn:00038811n	12184337n
bn:00038812n	12421334n
bn:00038813n	12463574n
bn:00038814n	02489060n
bn:00038815n	11893004n
bn:00038816n	02509405n
bn:00038817n	01737197n
bn:00038818n	12668732n
bn:00038819n	02580055n
bn:00038820n	01968732n
bn:00038821n	01634392n
bn:00038822n	01490546n
bn:00038823n	11717239n
bn:00038824n	12836033n
bn:00038825n	02516867n
bn:00038826n	02338319n
bn:00038827n	13073526n
bn:00038828n	13051196n
bn:00038829n	01892876n
bn:00038830n	01617633n
bn:00038831n	02339768n
bn:00038832n	02242669n
bn:00038833n	12781814n
bn:00038834n	12859873n
bn:00038835n	12745160n
bn:00038836n	13204646n
bn:00038837n	01984131n
bn:00038838n	11789796n
bn:00038839n	01946487n
bn:00038840n	01947020n
bn:00038841n	11773860n
bn:00038842n	01737356n
bn:00038843n	02334079n
bn:00038844n	01818704n
bn:00038845n	12964321n
bn:00038846n	01891145n
bn:00038847n	12906926n
bn:00038848n	12907287n
bn:00038849n	13046887n
bn:00038850n	12908432n
bn:00038851n	11736569n
bn:00038852n	13051546n
bn:00038853n	02131076n
bn:00038854n	12591897n
bn:00038855n	01413071n
bn:00038856n	01362196n
bn:00038857n	01362480n
bn:00038858n	01417553n
bn:00038859n	02295570n
bn:00038860n	12479821n
bn:00038861n	02210567n
bn:00038862n	11851101n
bn:00038863n	01359203n
bn:00038864n	01750315n
bn:00038865n	01442055n
bn:00038866n	12265900n
bn:00038867n	01726079n
bn:00038868n	02334609n
bn:00038869n	02240852n
bn:00038870n	01630795n
bn:00038871n	02017607n
bn:00038872n	01885856n
bn:00038873n	01441625n
bn:00038874n	01581607n
bn:00038875n	02033444n
bn:00038876n	01808989n
bn:00038877n	11716285n
bn:00038878n	12738480n
bn:00038879n	11836137n
bn:00038880n	02010881n
bn:00038881n	02116322n
bn:00038882n	02498888n
bn:00038883n	02010592n
bn:00038884n	02140357n
bn:00038885n	11715207n
bn:00038886n	02275372n
bn:00038887n	01819600n
bn:00038888n	12340202n
bn:00038889n	02061425n
bn:00038890n	12382699n
bn:00038891n	02328662n
bn:00038892n	12191461n
bn:00038893n	12860254n
bn:00038894n	01970030n
bn:00038895n	02587761n
bn:00038896n	02081423n
bn:00038897n	02432139n
bn:00038898n	12073744n
bn:00038899n	01805446n
bn:00038900n	02230355n
bn:00038901n	01411871n
bn:00038902n	12940778n
bn:00038903n	01561613n
bn:00038904n	12344131n
bn:00038905n	02194599n
bn:00038906n	02439286n
bn:00038907n	12300625n
bn:00038908n	13204102n
bn:00038909n	11997775n
bn:00038910n	13198354n
bn:00038911n	02577532n
bn:00038912n	13051866n
bn:00038913n	01971728n
bn:00038914n	13005166n
bn:00038915n	12074205n
bn:00038916n	02535909n
bn:00038917n	02338029n
bn:00038918n	01991808n
bn:00038919n	12552081n
bn:00038920n	13198728n
bn:00038921n	12552658n
bn:00038922n	11998648n
bn:00038923n	12822284n
bn:00038924n	13211305n
bn:00038925n	01878500n
bn:00038926n	02337774n
bn:00038927n	01729838n
bn:00038928n	02552894n
bn:00038929n	12960211n
bn:00038930n	01748560n
bn:00038931n	01690339n
bn:00038932n	12074678n
bn:00038933n	01809592n
bn:00038934n	11851395n
bn:00038935n	12592351n
bn:00038936n	01993065n
bn:00038937n	12043248n
bn:00038938n	02071173n
bn:00038939n	02418341n
bn:00038940n	01486411n
bn:00038941n	13229358n
bn:00038942n	01808447n
bn:00038943n	12852726n
bn:00038944n	01575941n
bn:00038945n	12221943n
bn:00038946n	12553314n
bn:00038947n	12459471n
bn:00038948n	01873144n
bn:00038949n	11790239n
bn:00038950n	01800286n
bn:00038951n	12257140n
bn:00038952n	02589955n
bn:00038953n	01566082n
bn:00038954n	02082632n
bn:00038955n	02324717n
bn:00038956n	02428229n
bn:00038957n	12125782n
bn:00038958n	02340521n
bn:00038959n	12126238n
bn:00038960n	12309403n
bn:00038961n	02540637n
bn:00038962n	12953079n
bn:00038963n	01960900n
bn:00038964n	12287388n
bn:00038965n	12288188n
bn:00038966n	02078159n
bn:00038967n	11999140n
bn:00038968n	02019044n
bn:00038969n	01623284n
bn:00038970n	02478416n
bn:00038971n	01979395n
bn:00038972n	02411075n
bn:00038973n	02411427n
bn:00038974n	12702706n
bn:00038975n	11696338n
bn:00038976n	01739260n
bn:00038977n	12242287n
bn:00038978n	02649082n
bn:00038979n	12554242n
bn:00038980n	01849747n
bn:00038981n	01751353n
bn:00038982n	13082711n
bn:00038983n	11999455n
bn:00038984n	01556368n
bn:00038985n	12555069n
bn:00038986n	12746733n
bn:00038987n	11999958n
bn:00038988n	01543508n
bn:00038989n	11719120n
bn:00038990n	02591493n
bn:00038991n	02042342n
bn:00038992n	02080022n
bn:00038993n	02591205n
bn:00038994n	01986072n
bn:00038995n	01987353n
bn:00038996n	12774891n
bn:00038997n	02287204n
bn:00038998n	01984547n
bn:00038999n	13143626n
bn:00039000n	02633555n
bn:00039001n	02481629n
bn:00039002n	11799520n
bn:00039003n	12154628n
bn:00039004n	01615949n
bn:00039005n	12126911n
bn:00039006n	01782378n
bn:00039007n	02128120n
bn:00039008n	11900986n
bn:00039009n	12075495n
bn:00039010n	02486565n
bn:00039011n	02633844n
bn:00039012n	02584004n
bn:00039013n	02138042n
bn:00039014n	02661317n
bn:00039015n	01981137n
bn:00039016n	01395885n
bn:00039017n	02569770n
bn:00039018n	02477516n
bn:00039019n	01890033n
bn:00039020n	11657763n
bn:00039021n	13229747n
bn:00039022n	12394494n
bn:00039023n	12469372n
bn:00039024n	11763473n
bn:00039025n	12497492n
bn:00039026n	12991645n
bn:00039027n	12801323n
bn:00039028n	12555720n
bn:00039029n	11813309n
bn:00039030n	02664511n
bn:00039031n	12317164n
bn:00039032n	12317611n
bn:00039033n	12000609n
bn:00039034n	13148019n
bn:00039035n	01567530n
bn:00039036n	01591910n
bn:00039037n	12127890n
bn:00039038n	01539772n
bn:00039039n	01537360n
bn:00039040n	12383256n
bn:00039041n	12941360n
bn:00039042n	01948917n
bn:00039043n	01805692n
bn:00039044n	12184724n
bn:00039045n	12775225n
bn:00039046n	02397377n
bn:00039047n	11545214n
bn:00039048n	01966204n
bn:00039049n	02184270n
bn:00039050n	12927921n
bn:00039051n	11850748n
bn:00039052n	01798052n
bn:00039053n	02020450n
bn:00039054n	11852255n
bn:00039055n	12687211n
bn:00039056n	02052044n
bn:00039057n	13211516n
bn:00039058n	13015826n
bn:00039059n	11790624n
bn:00039060n	01799876n
bn:00039061n	01988064n
bn:00039062n	13079953n
bn:00039063n	01915541n
bn:00039064n	12128645n
bn:00039065n	12884523n
bn:00039066n	13150741n
bn:00039067n	02557033n
bn:00039068n	02558079n
bn:00039069n	01807701n
bn:00039070n	12001565n
bn:00039071n	01417982n
bn:00039072n	12860842n
bn:00039073n	02619409n
bn:00039074n	02000764n
bn:00039075n	02000195n
bn:00039076n	02234181n
bn:00039077n	13237343n
bn:00039078n	01581041n
bn:00039079n	02651412n
bn:00039080n	01608086n
bn:00039081n	02499178n
bn:00039082n	02349040n
bn:00039083n	02336451n
bn:00039084n	12980652n
bn:00039085n	11706629n
bn:00039086n	12222334n
bn:00039087n	12989301n
bn:00039088n	12002197n
bn:00039089n	02362420n
bn:00039090n	01881991n
bn:00039091n	11813830n
bn:00039092n	01878803n
bn:00039093n	01477745n
bn:00039094n	12942270n
bn:00039095n	12498316n
bn:00039096n	12909252n
bn:00039097n	13030438n
bn:00039098n	01811394n
bn:00039099n	12836663n
bn:00039100n	02396970n
bn:00039101n	02054966n
bn:00039102n	12076075n
bn:00039103n	02053859n
bn:00039104n	12076381n
bn:00039105n	01836527n
bn:00039106n	01881416n
bn:00039107n	01769930n
bn:00039108n	12129525n
bn:00039109n	02037713n
bn:00039110n	13040108n
bn:00039111n	01844414n
bn:00039112n	01885032n
bn:00039113n	01882607n
bn:00039114n	12556030n
bn:00039115n	01802895n
bn:00039116n	13230421n
bn:00039117n	12713664n
bn:00039118n	02342413n
bn:00039119n	12790835n
bn:00039120n	02258065n
bn:00039121n	12309850n
bn:00039122n	11791155n
bn:00039123n	02031455n
bn:00039124n	02029914n
bn:00039125n	02198021n
bn:00039126n	13176873n
bn:00039127n	02204084n
bn:00039128n	12130408n
bn:00039129n	12861139n
bn:00039130n	12810318n
bn:00039131n	02079706n
bn:00039132n	02070311n
bn:00039133n	12593689n
bn:00039134n	01830316n
bn:00039135n	01561318n
bn:00039136n	12593826n
bn:00039137n	01967812n
bn:00039138n	12077062n
bn:00039139n	13007770n
bn:00039140n	02615157n
bn:00039141n	12837643n
bn:00039142n	12739595n
bn:00039143n	12636430n
bn:00039144n	01452200n
bn:00039145n	01442855n
bn:00039146n	12077505n
bn:00039147n	12130759n
bn:00039148n	01681812n
bn:00039149n	02185007n
bn:00039150n	02294279n
bn:00039151n	13184164n
bn:00039152n	02232086n
bn:00039153n	11649749n
bn:00039154n	12242668n
bn:00039155n	13058796n
bn:00039156n	01729533n
bn:00039157n	01565238n
bn:00039158n	12148962n
bn:00039159n	02142575n
bn:00039160n	02255698n
bn:00039161n	01952557n
bn:00039162n	01913035n
bn:00039163n	12910141n
bn:00039164n	11893451n
bn:00039165n	02067100n
bn:00039166n	12861751n
bn:00039167n	12486732n
bn:00039168n	12594165n
bn:00039169n	11855122n
bn:00039170n	12982723n
bn:00039171n	01582111n
bn:00039172n	11624367n
bn:00039173n	12558902n
bn:00039174n	01839221n
bn:00039175n	12718314n
bn:00039176n	12002957n
bn:00039177n	01841815n
bn:00039178n	01838961n
bn:00039179n	12243292n
bn:00039180n	02280845n
bn:00039181n	12394861n
bn:00039182n	12003407n
bn:00039183n	12958140n
bn:00039184n	12330751n
bn:00039185n	12942930n
bn:00039186n	12669157n
bn:00039187n	01961862n
bn:00039188n	02255144n
bn:00039189n	12872698n
bn:00039190n	02046321n
bn:00039191n	01540969n
bn:00039192n	01980471n
bn:00039193n	11608055n
bn:00039194n	01653975n
bn:00039195n	13149039n
bn:00039196n	01800042n
bn:00039197n	01542055n
bn:00039198n	02147747n
bn:00039199n	01551549n
bn:00039200n	11764072n
bn:00039201n	12395717n
bn:00039202n	12004310n
bn:00039203n	01597551n
bn:00039204n	01700754n
bn:00039205n	12559302n
bn:00039206n	11841061n
bn:00039207n	12761471n
bn:00039208n	11791446n
bn:00039209n	12559842n
bn:00039210n	02473554n
bn:00039211n	11764231n
bn:00039212n	02492833n
bn:00039213n	01554825n
bn:00039214n	01733634n
bn:00039215n	02340813n
bn:00039216n	13212751n
bn:00039217n	01962662n
bn:00039218n	12185078n
bn:00039219n	12410032n
bn:00039220n	02251452n
bn:00039221n	12598629n
bn:00039222n	12983404n
bn:00039223n	01424282n
bn:00039224n	02006827n
bn:00039225n	12077732n
bn:00039226n	12806455n
bn:00039227n	02658670n
bn:00039228n	13177354n
bn:00039229n	12561696n
bn:00039230n	12562420n
bn:00039231n	01449586n
bn:00039232n	11907267n
bn:00039233n	02046045n
bn:00039234n	02148698n
bn:00039235n	13031007n
bn:00039236n	12078596n
bn:00039237n	12862312n
bn:00039238n	01538498n
bn:00039239n	12078954n
bn:00039240n	11821777n
bn:00039241n	02476074n
bn:00039242n	01725570n
bn:00039243n	01635964n
bn:00039244n	01920302n
bn:00039245n	02658381n
bn:00039246n	13183669n
bn:00039247n	12079352n
bn:00039248n	13007195n
bn:00039249n	02000354n
bn:00039250n	01543059n
bn:00039251n	12098227n
bn:00039252n	11774279n
bn:00039253n	13019202n
bn:00039254n	02024353n
bn:00039255n	02039660n
bn:00039256n	12131216n
bn:00039257n	12563404n
bn:00039258n	01836953n
bn:00039259n	02049855n
bn:00039260n	02050921n
bn:00039261n	11651731n
bn:00039262n	11699915n
bn:00039263n	02237730n
bn:00039264n	02443683n
bn:00039265n	01544067n
bn:00039266n	12079737n
bn:00039267n	12862648n
bn:00039268n	11867070n
bn:00039269n	12809233n
bn:00039270n	12480233n
bn:00039271n	01563313n
bn:00039272n	02213967n
bn:00039273n	02524081n
bn:00039274n	01378346n
bn:00039275n	01612803n
bn:00039276n	13199244n
bn:00039277n	01937422n
bn:00039278n	02611154n
bn:00039279n	02222459n
bn:00039280n	12704844n
bn:00039281n	12474006n
bn:00039282n	02277895n
bn:00039283n	12600888n
bn:00039284n	02639464n
bn:00039285n	01644245n
bn:00039286n	13172725n
bn:00039287n	13052431n
bn:00039288n	02568326n
bn:00039289n	13199445n
bn:00039290n	02605809n
bn:00039291n	02606590n
bn:00039292n	13143930n
bn:00039293n	02573563n
bn:00039294n	02531362n
bn:00039295n	02562680n
bn:00039296n	12714114n
bn:00039297n	12563567n
bn:00039298n	02480346n
bn:00039299n	12609842n
bn:00039300n	01535005n
bn:00039301n	02173240n
bn:00039302n	12731202n
bn:00039303n	01992113n
bn:00039304n	02633287n
bn:00039305n	01415393n
bn:00039306n	02017093n
bn:00039307n	02017335n
bn:00039308n	11857528n
bn:00039309n	01979124n
bn:00039310n	02015944n
bn:00039311n	01894803n
bn:00039312n	12615986n
bn:00039313n	01736569n
bn:00039314n	12636705n
bn:00039315n	12637319n
bn:00039316n	11791819n
bn:00039317n	01880355n
bn:00039318n	02509071n
bn:00039319n	12775530n
bn:00039320n	01989390n
bn:00039321n	12004686n
bn:00039322n	02488149n
bn:00039323n	02571486n
bn:00039324n	12090702n
bn:00039325n	01565804n
bn:00039326n	02455887n
bn:00039327n	01490885n
bn:00039328n	02650928n
bn:00039329n	01497278n
bn:00039330n	11893808n
bn:00039331n	12874996n
bn:00039332n	02372813n
bn:00039333n	02059393n
bn:00039334n	02254110n
bn:00039335n	01551915n
bn:00039336n	02478662n
bn:00039337n	02507863n
bn:00039338n	01596479n
bn:00039339n	11765099n
bn:00039340n	02539752n
bn:00039341n	12214605n
bn:00039342n	02118058n
bn:00039343n	01696151n
bn:00039344n	01634092n
bn:00039345n	12693033n
bn:00039346n	01515398n
bn:00039347n	01703996n
bn:00039348n	02376303n
bn:00039349n	11658104n
bn:00039350n	12863026n
bn:00039351n	01527055n
bn:00039352n	12637729n
bn:00039353n	01592892n
bn:00039354n	02634156n
bn:00039355n	02639786n
bn:00039356n	02663086n
bn:00039357n	02664823n
bn:00039358n	01651900n
bn:00039359n	02297127n
bn:00039360n	01750598n
bn:00039361n	01668257n
bn:00039362n	12191965n
bn:00039363n	02250653n
bn:00039364n	13042814n
bn:00039365n	11620248n
bn:00039366n	01360937n
bn:00039367n	02659342n
bn:00039368n	02428653n
bn:00039369n	11663136n
bn:00039370n	11628284n
bn:00039371n	11740208n
bn:00039372n	12333397n
bn:00039373n	13217763n
bn:00039374n	13216673n
bn:00039375n	02209755n
bn:00039376n	01704847n
bn:00039377n	01822164n
bn:00039378n	01817772n
bn:00039379n	02020902n
bn:00039380n	12563913n
bn:00039381n	12564381n
bn:00039382n	12080199n
bn:00039383n	12669641n
bn:00039384n	13189656n
bn:00039385n	13213768n
bn:00039386n	01652163n
bn:00039387n	12564840n
bn:00039388n	12322359n
bn:00039389n	01815855n
bn:00039390n	01521602n
bn:00039391n	01723425n
bn:00039392n	02643448n
bn:00039393n	12005148n
bn:00039394n	02139914n
bn:00039395n	12200747n
bn:00039396n	12081022n
bn:00039397n	02495446n
bn:00039398n	02320339n
bn:00039399n	01600909n
bn:00039400n	01571297n
bn:00039401n	01733094n
bn:00039402n	01675225n
bn:00039403n	13064852n
bn:00039404n	12566809n
bn:00039405n	02060290n
bn:00039406n	02186586n
bn:00039407n	12005500n
bn:00039408n	11737316n
bn:00039409n	12345136n
bn:00039410n	01676113n
bn:00039411n	02056091n
bn:00039412n	02520015n
bn:00039413n	12651062n
bn:00039414n	02289061n
bn:00039415n	02289466n
bn:00039416n	12005869n
bn:00039417n	01550033n
bn:00039418n	12255934n
bn:00039419n	02176611n
bn:00039420n	01534034n
bn:00039421n	01541618n
bn:00039422n	13178107n
bn:00039423n	12736840n
bn:00039424n	12651465n
bn:00039425n	12982338n
bn:00039426n	01743787n
bn:00039427n	12251577n
bn:00039428n	12718807n
bn:00039429n	12268096n
bn:00039430n	01574270n
bn:00039431n	02574093n
bn:00039432n	13045429n
bn:00039433n	12185687n
bn:00039434n	12594746n
bn:00039435n	01501450n
bn:00039436n	12990250n
bn:00039437n	01834412n
bn:00039438n	01640567n
bn:00039439n	02242816n
bn:00039440n	02433796n
bn:00039441n	11720088n
bn:00039442n	12006081n
bn:00039443n	11894173n
bn:00039444n	02426339n
bn:00039445n	01811104n
bn:00039446n	12006503n
bn:00039447n	02333368n
bn:00039448n	11775160n
bn:00039449n	12354849n
bn:00039450n	02036548n
bn:00039451n	02546873n
bn:00039452n	12958470n
bn:00039453n	01563579n
bn:00039454n	02336129n
bn:00039455n	02575455n
bn:00039456n	12385219n
bn:00039457n	12567316n
bn:00039458n	02223694n
